"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005"
"PLOD2",2.71781283182922,2.32864405377247,2.81585267017544,2.77765136980465,2.7703649837687,2.29583585004577,1.97556892638073,2.27228721094967,2.47008517943562,2.813056096452,2.78935929818922,2.77828827994281,2.9966539393188,2.98385551277396,3.01816625490823,2.87644641854055,2.96160017830915,2.89976883134883
"TOM1",3.09656884857038,3.07723000778118,3.05507293663202,2.99365498078307,2.88620577130391,2.73341399970152,3.17149187887078,3.00341280306211,2.80360502262067,2.94882452263556,2.84439529504247,2.89639218141418,2.93872164015904,2.84970168543285,2.60685460466847,2.41598575956181,2.68197901831659,2.60636902549162
"ELOA",2.0836919742162,2.32278480132502,2.3523172888862,2.11785525935137,2.37670295957212,2.2207243201763,2.02166342835884,2.5334407513027,2.46817899296412,2.4242349653474,2.27589295981034,2.55537935473091,2.09006210181922,2.47166220975842,2.97794002299437,2.97125236456637,3.01534680502446,2.92429831384174
"AHR",2.69385846984431,2.56978830124069,2.67261293670602,2.80259422008587,2.44336344138969,2.31676874772284,2.84593317879998,2.61988741374188,2.85031237635013,2.77088210241296,2.66442686089062,2.74592075593466,2.69632461543305,2.86751795393203,3.08027118759354,3.11549974548199,3.11664687979565,3.20447301808746
"LPP",2.54445719479941,2.42473858292553,2.43128169991635,2.74339755715083,2.87180501845279,2.48017747178999,2.54858976419543,2.2411830434142,2.2630031471026,2.52410581229102,2.48096044723775,2.49233211978803,2.7642837269721,2.66582114965859,3.24863835915183,3.2551857229316,3.05860223521748,3.19217080416794
"ELOC",2.54365325975532,2.49897560780011,2.86380348870996,2.61315772957334,2.35563398669178,2.21223531706257,2.40430151057496,2.7948206999584,2.52959134613965,2.69791634758258,2.58684807264714,2.76811168523831,2.63238339381225,2.61962405827542,3.19452836858297,3.23290906314156,3.244008848032,3.23585998994472
"SLC37A4",3.27750709155802,3.27071401408058,3.39373208150326,3.37050733328092,3.27738240794498,3.33442454244416,3.34308499204902,3.41022060360774,3.37165671165294,3.25170909594427,3.2048645439128,3.2535539724418,3.17701777994066,3.02151934767849,2.93442950322543,2.99971612182327,2.95052365730099,3.07145584091672
"DNAJB9",3.26411887475046,3.01084731807218,3.19882304433076,3.15704257798535,3.29953290420653,3.25457907786656,3.1378789035059,3.26706875670158,3.25334202545981,3.14520952228181,3.05028540757827,3.08757485792822,2.98189593349177,2.85637482953228,2.76839925709121,2.84411564971897,2.7071196662484,2.59290116946876
"AAGAB",3.38037357862128,3.41314926410391,3.27205096739378,3.06334382290627,3.01700559476958,3.17646847109866,3.23237664067551,3.18149029252597,2.89878686268408,3.30905770463081,3.21910205813423,3.3358123638966,3.15447254980148,3.04757101828946,2.72086221171293,2.69896475203976,2.73419237891529,2.68329244313086
"SLC16A3",3.2204398555732,3.20776949906479,3.48726946572903,3.4354333770057,3.31476380152474,3.37210572854986,3.26239466921357,3.37475503595777,3.39993558797449,3.36202179117029,3.32906287262535,3.48893192151243,3.34198076750341,3.13054313460829,2.20889864023107,2.22402977511479,2.14556170891659,2.14597183275834
