"","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013"
"ZC3H11A",2.22569015401255,3.08268232470376,2.93841998545547,3.01323015929741,2.73791861220673,2.91671681883785,1.98019058814853,2.14857688349425,1.94012802746433,1.99665628913998,2.11476446100836,2.0520283873704,1.97277131090173
"JPH3",1.93668768462535,2.37023125128941,2.23687157263026,2.30387366205049,2.29852987480093,2.23597637030448,1.94903844844944,1.95550996077482,1.75573662557825,1.92657258613487,1.81251342232584,1.81103774593567,1.85437353190201
"SHANK2",2.25681502620608,2.05849591205259,2.03021493634521,1.92906189279043,2.24721297468504,2.15108272116781,2.77030937084866,2.21354139087518,2.39467354848164,2.25983197847085,2.5783421953526,2.55003084636461,2.46739322191433
"DDHD1",2.54556341892649,2.56040657601921,2.61785372892674,2.36736295745594,2.23832310531731,2.35184341709008,1.81065656167419,2.24235189878136,2.03258083860269,1.8288988129438,2.27476469014672,2.19964376545153,2.19787859817902
"CFAP100",2.19084396664011,1.93823610133611,2.04174937885091,2.0788079184276,2.01234626322132,2.02324293051831,2.34491568085472,2.47529686051312,2.33202644834177,2.31551551194409,2.38446845926126,2.39338077794679,2.41048439000816
"MRPL30",1.95757774479225,2.83218195807404,2.89435486278527,2.998897720676,2.87660593661742,2.8874441656055,1.7192522325004,1.80347669615116,1.79804180256411,1.74413138005309,1.70181472789264,1.74976851229239,1.6929689997378
"IFT27",2.00414683220614,1.84978594093417,1.89356297023656,1.80344280448573,1.75439797146895,1.83833221267254,2.18998265378357,2.34340839084747,2.21786970410783,2.26557401757612,2.27386704697522,1.98493927311246,2.10822668724811
"SFTA1P",2.70286229847895,2.1435021555298,2.21607299322181,2.05482729647973,2.18239387664464,2.09685486911464,3.06494250289515,2.98488624340232,2.84645881523267,2.86161558632214,2.8136826998737,2.96151257543072,2.84273732352716
"CCDC88C",2.84532866079579,3.09978668065104,3.11266777598907,2.97764407788557,3.19309328071324,2.97072962139951,2.83656142684602,2.00328524067698,2.66821672347247,2.4723112579744,2.55665208710394,2.71976215511613,2.59498200950963
"CCDC158",2.63755066398491,1.87150855746998,1.94478162493544,1.91222063280486,1.98372183210127,1.94393257559377,2.91929011646101,2.80282538218139,2.95777793533273,3.00160644788663,2.5448936057327,2.96338626487089,2.8665893436839
"KCNC3",2.01851204547558,2.19926715562014,2.1886933588107,2.28018013700164,2.19793582635821,2.11633580933759,1.72351574959873,1.52739818349518,1.99797808942164,1.77369889679219,1.89787313612784,1.86468853608821,1.81889145303248
"WDR38",2.80360543589199,2.46579480188084,2.39267187001564,2.47645531109593,2.4691175495776,2.50620026321278,2.82572234283876,2.75440844788248,2.86481866180803,2.83812583719024,2.79845868474884,3.07665263811449,3.00878464087777
"CAND1",2.43434773378382,2.85390106074948,2.99595876648787,2.91709581944781,2.99934414604981,2.93551104271706,2.22739206405337,2.42966175481648,2.32692443088118,2.25035072353696,2.30867802819386,2.25285129636025,2.2898675081211
"C6orf52",2.04551181866368,2.27462009103106,2.40068137224346,2.34280873074357,2.31767974540029,2.36620525502702,1.88369783616011,2.09177801678184,1.89887777797149,1.97787153614664,1.91194654730189,1.94709083406744,1.86699617859824
"AC010247.1",2.65309946704961,2.22852442764329,2.32578963359644,2.31608722215102,2.2083877173299,2.3548676443117,2.77053350108595,2.94429905884182,2.72215253212703,3.01889975939084,2.72248504168947,2.91527708476598,2.84668646470635
"NFYB",2.50841648211814,2.39744484434218,2.62254878257233,2.57675696489105,2.54915877790452,2.48200280706469,1.97045538609883,2.01485229436415,2.12824522237463,1.88314492212245,2.5326037241405,2.29226346363793,2.35520659942594
"STAT1",3.3610059715579,3.19202463076302,3.13119616297985,3.18155214980621,3.25628214496113,3.18459308250344,3.47844819934202,3.43082798824015,3.58294624861198,3.54913757951222,3.41148671833012,3.62995269429232,3.64095703960062
"STAT1",2.35272519693155,2.61599721347671,2.67717715678663,2.58289459920833,2.64961040100022,2.69037932347148,2.07651360403023,2.22054448563712,2.22068284569652,2.15667231393538,2.36114118406371,2.1238876487045,2.14816131568964
